risk_name,risk_class,mechanism,primary_transmission_to_targets,persistent_scarring,evidence_needed_for_v802
structural inflation/energy,structural,Persistent input-cost pressure erodes real household income.,median living and employment,yes,"Historical base rates, official stress scenarios, severity/duration distributions, recovery evidence, and interaction research."
chronic climate damage,climate,"Repeated heat, drought and flood damage reduce output and raise costs.",GDP per capita and median living,yes,"Historical base rates, official stress scenarios, severity/duration distributions, recovery evidence, and interaction research."
AI/automation,technology,"Automation changes task demand, productivity and displacement risk.",employment and GDP per capita,yes,"Historical base rates, official stress scenarios, severity/duration distributions, recovery evidence, and interaction research."
technology outside AI,technology,Diffusion of general technology affects productivity and competitiveness.,GDP per capita and median living,yes,"Historical base rates, official stress scenarios, severity/duration distributions, recovery evidence, and interaction research."
French sovereign/debt crisis,event/crisis,"Discrete adverse shock affecting financing, demand, supply, confidence or external conditions.",Unemployment through labor demand; GDP per capita through output; median living through real income and prices.,to be researched,"Probability over 2/5/10/25 years; timing, severity, duration, recovery, scarring and interactions."
refinancing/spread crisis,event/crisis,"Discrete adverse shock affecting financing, demand, supply, confidence or external conditions.",Unemployment through labor demand; GDP per capita through output; median living through real income and prices.,to be researched,"Probability over 2/5/10/25 years; timing, severity, duration, recovery, scarring and interactions."
banking/financial crisis,event/crisis,"Discrete adverse shock affecting financing, demand, supply, confidence or external conditions.",Unemployment through labor demand; GDP per capita through output; median living through real income and prices.,to be researched,"Probability over 2/5/10/25 years; timing, severity, duration, recovery, scarring and interactions."
euro-area sovereign crisis,event/crisis,"Discrete adverse shock affecting financing, demand, supply, confidence or external conditions.",Unemployment through labor demand; GDP per capita through output; median living through real income and prices.,to be researched,"Probability over 2/5/10/25 years; timing, severity, duration, recovery, scarring and interactions."
global recession,event/crisis,"Discrete adverse shock affecting financing, demand, supply, confidence or external conditions.",Unemployment through labor demand; GDP per capita through output; median living through real income and prices.,to be researched,"Probability over 2/5/10/25 years; timing, severity, duration, recovery, scarring and interactions."
asset-price crash,event/crisis,"Discrete adverse shock affecting financing, demand, supply, confidence or external conditions.",Unemployment through labor demand; GDP per capita through output; median living through real income and prices.,to be researched,"Probability over 2/5/10/25 years; timing, severity, duration, recovery, scarring and interactions."
credit crisis,event/crisis,"Discrete adverse shock affecting financing, demand, supply, confidence or external conditions.",Unemployment through labor demand; GDP per capita through output; median living through real income and prices.,to be researched,"Probability over 2/5/10/25 years; timing, severity, duration, recovery, scarring and interactions."
energy shock,event/crisis,"Discrete adverse shock affecting financing, demand, supply, confidence or external conditions.",Unemployment through labor demand; GDP per capita through output; median living through real income and prices.,to be researched,"Probability over 2/5/10/25 years; timing, severity, duration, recovery, scarring and interactions."
oil/gas shock,event/crisis,"Discrete adverse shock affecting financing, demand, supply, confidence or external conditions.",Unemployment through labor demand; GDP per capita through output; median living through real income and prices.,to be researched,"Probability over 2/5/10/25 years; timing, severity, duration, recovery, scarring and interactions."
major geopolitical conflict,event/crisis,"Discrete adverse shock affecting financing, demand, supply, confidence or external conditions.",Unemployment through labor demand; GDP per capita through output; median living through real income and prices.,to be researched,"Probability over 2/5/10/25 years; timing, severity, duration, recovery, scarring and interactions."
trade fragmentation shock,event/crisis,"Discrete adverse shock affecting financing, demand, supply, confidence or external conditions.",Unemployment through labor demand; GDP per capita through output; median living through real income and prices.,to be researched,"Probability over 2/5/10/25 years; timing, severity, duration, recovery, scarring and interactions."
major climate/food-price shock,event/crisis,"Discrete adverse shock affecting financing, demand, supply, confidence or external conditions.",Unemployment through labor demand; GDP per capita through output; median living through real income and prices.,to be researched,"Probability over 2/5/10/25 years; timing, severity, duration, recovery, scarring and interactions."
domestic political crisis,event/crisis,"Discrete adverse shock affecting financing, demand, supply, confidence or external conditions.",Unemployment through labor demand; GDP per capita through output; median living through real income and prices.,to be researched,"Probability over 2/5/10/25 years; timing, severity, duration, recovery, scarring and interactions."
housing/real-estate shock,event/crisis,"Discrete adverse shock affecting financing, demand, supply, confidence or external conditions.",Unemployment through labor demand; GDP per capita through output; median living through real income and prices.,to be researched,"Probability over 2/5/10/25 years; timing, severity, duration, recovery, scarring and interactions."
combinations of the above,event/crisis,"Discrete adverse shock affecting financing, demand, supply, confidence or external conditions.",Unemployment through labor demand; GDP per capita through output; median living through real income and prices.,to be researched,"Probability over 2/5/10/25 years; timing, severity, duration, recovery, scarring and interactions."
