risk_a,risk_b,interaction,mechanism
major geopolitical conflict,severe funding/refinancing crisis,+,"Common financing, demand, supply, confidence or policy channels."
major geopolitical conflict,oil/gas shock,+,"Common financing, demand, supply, confidence or policy channels."
major geopolitical conflict,trade fragmentation shock,+,"Common financing, demand, supply, confidence or policy channels."
major climate/food-price shock,material sovereign stress,++,"Common financing, demand, supply, confidence or policy channels."
major climate/food-price shock,severe funding/refinancing crisis,+,"Common financing, demand, supply, confidence or policy channels."
major climate/food-price shock,oil/gas shock,+,"Common financing, demand, supply, confidence or policy channels."
major climate/food-price shock,major geopolitical conflict,+,"Common financing, demand, supply, confidence or policy channels."
major climate/food-price shock,trade fragmentation shock,+,"Common financing, demand, supply, confidence or policy channels."
domestic political crisis,material sovereign stress,++,"Common financing, demand, supply, confidence or policy channels."
domestic political crisis,severe funding/refinancing crisis,+,"Common financing, demand, supply, confidence or policy channels."
domestic political crisis,formal default/restructuring,++,"Common financing, demand, supply, confidence or policy channels."
domestic political crisis,euro-area sovereign crisis,+,"Common financing, demand, supply, confidence or policy channels."
domestic political crisis,global recession,+,"Common financing, demand, supply, confidence or policy channels."
domestic political crisis,energy shock,+,"Common financing, demand, supply, confidence or policy channels."
domestic political crisis,oil/gas shock,+,"Common financing, demand, supply, confidence or policy channels."
domestic political crisis,major geopolitical conflict,+,"Common financing, demand, supply, confidence or policy channels."
domestic political crisis,trade fragmentation shock,+,"Common financing, demand, supply, confidence or policy channels."
domestic political crisis,major climate/food-price shock,+,"Common financing, demand, supply, confidence or policy channels."
domestic political crisis,housing/real-estate shock,+,"Common financing, demand, supply, confidence or policy channels."
housing/real-estate shock,material sovereign stress,++,"Common financing, demand, supply, confidence or policy channels."
housing/real-estate shock,severe funding/refinancing crisis,+,"Common financing, demand, supply, confidence or policy channels."
housing/real-estate shock,oil/gas shock,+,"Common financing, demand, supply, confidence or policy channels."
housing/real-estate shock,major geopolitical conflict,+,"Common financing, demand, supply, confidence or policy channels."
housing/real-estate shock,trade fragmentation shock,+,"Common financing, demand, supply, confidence or policy channels."
housing/real-estate shock,major climate/food-price shock,+,"Common financing, demand, supply, confidence or policy channels."
combinations of the above,material sovereign stress,++,"Common financing, demand, supply, confidence or policy channels."
combinations of the above,severe funding/refinancing crisis,+,"Common financing, demand, supply, confidence or policy channels."
combinations of the above,formal default/restructuring,++,"Common financing, demand, supply, confidence or policy channels."
combinations of the above,euro-area sovereign crisis,+,"Common financing, demand, supply, confidence or policy channels."
combinations of the above,global recession,+,"Common financing, demand, supply, confidence or policy channels."
combinations of the above,credit crisis,+,"Common financing, demand, supply, confidence or policy channels."
combinations of the above,energy shock,+,"Common financing, demand, supply, confidence or policy channels."
combinations of the above,oil/gas shock,+,"Common financing, demand, supply, confidence or policy channels."
combinations of the above,major geopolitical conflict,+,"Common financing, demand, supply, confidence or policy channels."
combinations of the above,trade fragmentation shock,+,"Common financing, demand, supply, confidence or policy channels."
combinations of the above,major climate/food-price shock,+,"Common financing, demand, supply, confidence or policy channels."
combinations of the above,domestic political crisis,+,"Common financing, demand, supply, confidence or policy channels."
combinations of the above,housing/real-estate shock,+,"Common financing, demand, supply, confidence or policy channels."
