risk,definition,horizon,probability_type,probability_low,central_estimate,probability_high,estimate_basis,tier,evidence_grade,confidence,main_sources
banking/financial crisis,Systemic bank or financial-intermediary distress with material credit contraction,2y,cumulative at least one qualifying event,0.04,0.03,0.02,D expert synthesis anchored to official evidence; not an official probability,Tier 1,B,medium,V8_risk_sources.csv
banking/financial crisis,Systemic bank or financial-intermediary distress with material credit contraction,5y,cumulative at least one qualifying event,0.1,0.08,0.06,D expert synthesis anchored to official evidence; not an official probability,Tier 1,B,medium,V8_risk_sources.csv
banking/financial crisis,Systemic bank or financial-intermediary distress with material credit contraction,10y,cumulative at least one qualifying event,0.19,0.165,0.14,D expert synthesis anchored to official evidence; not an official probability,Tier 1,B,medium,V8_risk_sources.csv
banking/financial crisis,Systemic bank or financial-intermediary distress with material credit contraction,25y,cumulative at least one qualifying event,0.4,0.35,0.3,D expert synthesis anchored to official evidence; not an official probability,Tier 1,B,medium,V8_risk_sources.csv
euro-area sovereign crisis,Multi-country sovereign stress causing French funding or demand spillovers,2y,cumulative at least one qualifying event,0.04,0.03,0.02,D expert synthesis anchored to official evidence; not an official probability,Tier 1,C,medium,V8_risk_sources.csv
euro-area sovereign crisis,Multi-country sovereign stress causing French funding or demand spillovers,5y,cumulative at least one qualifying event,0.12,0.1,0.08,D expert synthesis anchored to official evidence; not an official probability,Tier 1,C,medium,V8_risk_sources.csv
euro-area sovereign crisis,Multi-country sovereign stress causing French funding or demand spillovers,10y,cumulative at least one qualifying event,0.23,0.205,0.18,D expert synthesis anchored to official evidence; not an official probability,Tier 1,C,medium,V8_risk_sources.csv
euro-area sovereign crisis,Multi-country sovereign stress causing French funding or demand spillovers,25y,cumulative at least one qualifying event,0.45,0.405,0.36,D expert synthesis anchored to official evidence; not an official probability,Tier 1,C,medium,V8_risk_sources.csv
global recession,"Global recession under a broad macro definition, not an ordinary slowdown",2y,cumulative at least one qualifying event,0.12,0.1,0.08,D expert synthesis anchored to official evidence; not an official probability,Tier 1,B,medium,V8_risk_sources.csv
global recession,"Global recession under a broad macro definition, not an ordinary slowdown",5y,cumulative at least one qualifying event,0.25,0.225,0.2,D expert synthesis anchored to official evidence; not an official probability,Tier 1,B,medium,V8_risk_sources.csv
global recession,"Global recession under a broad macro definition, not an ordinary slowdown",10y,cumulative at least one qualifying event,0.45,0.415,0.38,D expert synthesis anchored to official evidence; not an official probability,Tier 1,B,medium,V8_risk_sources.csv
global recession,"Global recession under a broad macro definition, not an ordinary slowdown",25y,cumulative at least one qualifying event,0.8,0.75,0.7,D expert synthesis anchored to official evidence; not an official probability,Tier 1,B,medium,V8_risk_sources.csv
asset-price crash,Equity or property repricing large enough to impair demand or financial balance sheets,2y,cumulative at least one qualifying event,0.08,0.06,0.04,D expert synthesis anchored to official evidence; not an official probability,Tier 1,B,medium,V8_risk_sources.csv
asset-price crash,Equity or property repricing large enough to impair demand or financial balance sheets,5y,cumulative at least one qualifying event,0.2,0.16,0.12,D expert synthesis anchored to official evidence; not an official probability,Tier 1,B,medium,V8_risk_sources.csv
asset-price crash,Equity or property repricing large enough to impair demand or financial balance sheets,10y,cumulative at least one qualifying event,0.38,0.33,0.28,D expert synthesis anchored to official evidence; not an official probability,Tier 1,B,medium,V8_risk_sources.csv
asset-price crash,Equity or property repricing large enough to impair demand or financial balance sheets,25y,cumulative at least one qualifying event,0.7,0.64,0.58,D expert synthesis anchored to official evidence; not an official probability,Tier 1,B,medium,V8_risk_sources.csv
credit crisis,Abrupt tightening or rationing of credit outside a full banking crisis,2y,cumulative at least one qualifying event,0.06,0.045,0.03,D expert synthesis anchored to official evidence; not an official probability,Tier 1,B,medium,V8_risk_sources.csv
credit crisis,Abrupt tightening or rationing of credit outside a full banking crisis,5y,cumulative at least one qualifying event,0.16,0.13,0.1,D expert synthesis anchored to official evidence; not an official probability,Tier 1,B,medium,V8_risk_sources.csv
credit crisis,Abrupt tightening or rationing of credit outside a full banking crisis,10y,cumulative at least one qualifying event,0.3,0.265,0.23,D expert synthesis anchored to official evidence; not an official probability,Tier 1,B,medium,V8_risk_sources.csv
credit crisis,Abrupt tightening or rationing of credit outside a full banking crisis,25y,cumulative at least one qualifying event,0.6,0.54,0.48,D expert synthesis anchored to official evidence; not an official probability,Tier 1,B,medium,V8_risk_sources.csv
energy shock,Large European energy supply or price shock affecting France,2y,cumulative at least one qualifying event,0.1,0.075,0.05,D expert synthesis anchored to official evidence; not an official probability,Tier 1,B,medium,V8_risk_sources.csv
energy shock,Large European energy supply or price shock affecting France,5y,cumulative at least one qualifying event,0.25,0.215,0.18,D expert synthesis anchored to official evidence; not an official probability,Tier 1,B,medium,V8_risk_sources.csv
energy shock,Large European energy supply or price shock affecting France,10y,cumulative at least one qualifying event,0.45,0.4,0.35,D expert synthesis anchored to official evidence; not an official probability,Tier 1,B,medium,V8_risk_sources.csv
energy shock,Large European energy supply or price shock affecting France,25y,cumulative at least one qualifying event,0.75,0.7,0.65,D expert synthesis anchored to official evidence; not an official probability,Tier 1,B,medium,V8_risk_sources.csv
oil/gas shock,Oil or gas disruption producing a material French price and supply shock,2y,cumulative at least one qualifying event,0.08,0.06,0.04,D expert synthesis anchored to official evidence; not an official probability,Tier 1,B,medium,V8_risk_sources.csv
oil/gas shock,Oil or gas disruption producing a material French price and supply shock,5y,cumulative at least one qualifying event,0.2,0.17,0.14,D expert synthesis anchored to official evidence; not an official probability,Tier 1,B,medium,V8_risk_sources.csv
oil/gas shock,Oil or gas disruption producing a material French price and supply shock,10y,cumulative at least one qualifying event,0.38,0.34,0.3,D expert synthesis anchored to official evidence; not an official probability,Tier 1,B,medium,V8_risk_sources.csv
oil/gas shock,Oil or gas disruption producing a material French price and supply shock,25y,cumulative at least one qualifying event,0.7,0.65,0.6,D expert synthesis anchored to official evidence; not an official probability,Tier 1,B,medium,V8_risk_sources.csv
major geopolitical conflict,"Conflict escalation, sanctions or security shock materially affecting France",2y,cumulative at least one qualifying event,0.08,0.06,0.04,D expert synthesis anchored to official evidence; not an official probability,Tier 1,C,low,V8_risk_sources.csv
major geopolitical conflict,"Conflict escalation, sanctions or security shock materially affecting France",5y,cumulative at least one qualifying event,0.2,0.175,0.15,D expert synthesis anchored to official evidence; not an official probability,Tier 1,C,low,V8_risk_sources.csv
major geopolitical conflict,"Conflict escalation, sanctions or security shock materially affecting France",10y,cumulative at least one qualifying event,0.38,0.35,0.32,D expert synthesis anchored to official evidence; not an official probability,Tier 1,C,low,V8_risk_sources.csv
major geopolitical conflict,"Conflict escalation, sanctions or security shock materially affecting France",25y,cumulative at least one qualifying event,0.7,0.66,0.62,D expert synthesis anchored to official evidence; not an official probability,Tier 1,C,low,V8_risk_sources.csv
trade fragmentation shock,Abrupt protectionism or supply-chain fragmentation reducing external demand,2y,cumulative at least one qualifying event,0.1,0.075,0.05,D expert synthesis anchored to official evidence; not an official probability,Tier 1,B,medium,V8_risk_sources.csv
trade fragmentation shock,Abrupt protectionism or supply-chain fragmentation reducing external demand,5y,cumulative at least one qualifying event,0.25,0.215,0.18,D expert synthesis anchored to official evidence; not an official probability,Tier 1,B,medium,V8_risk_sources.csv
trade fragmentation shock,Abrupt protectionism or supply-chain fragmentation reducing external demand,10y,cumulative at least one qualifying event,0.48,0.43,0.38,D expert synthesis anchored to official evidence; not an official probability,Tier 1,B,medium,V8_risk_sources.csv
trade fragmentation shock,Abrupt protectionism or supply-chain fragmentation reducing external demand,25y,cumulative at least one qualifying event,0.78,0.73,0.68,D expert synthesis anchored to official evidence; not an official probability,Tier 1,B,medium,V8_risk_sources.csv
major climate/food-price shock,Acute climate or agricultural event causing material food/output shock,2y,cumulative at least one qualifying event,0.08,0.055,0.03,D expert synthesis anchored to official evidence; not an official probability,Tier 1,B,medium,V8_risk_sources.csv
major climate/food-price shock,Acute climate or agricultural event causing material food/output shock,5y,cumulative at least one qualifying event,0.22,0.18,0.14,D expert synthesis anchored to official evidence; not an official probability,Tier 1,B,medium,V8_risk_sources.csv
major climate/food-price shock,Acute climate or agricultural event causing material food/output shock,10y,cumulative at least one qualifying event,0.45,0.385,0.32,D expert synthesis anchored to official evidence; not an official probability,Tier 1,B,medium,V8_risk_sources.csv
major climate/food-price shock,Acute climate or agricultural event causing material food/output shock,25y,cumulative at least one qualifying event,0.8,0.74,0.68,D expert synthesis anchored to official evidence; not an official probability,Tier 1,B,medium,V8_risk_sources.csv
domestic political crisis,Government/parliamentary crisis that materially disrupts policy or confidence,2y,cumulative at least one qualifying event,0.15,0.105,0.06,D expert synthesis anchored to official evidence; not an official probability,Tier 1,C,medium,V8_risk_sources.csv
domestic political crisis,Government/parliamentary crisis that materially disrupts policy or confidence,5y,cumulative at least one qualifying event,0.35,0.275,0.2,D expert synthesis anchored to official evidence; not an official probability,Tier 1,C,medium,V8_risk_sources.csv
domestic political crisis,Government/parliamentary crisis that materially disrupts policy or confidence,10y,cumulative at least one qualifying event,0.6,0.51,0.42,D expert synthesis anchored to official evidence; not an official probability,Tier 1,C,medium,V8_risk_sources.csv
domestic political crisis,Government/parliamentary crisis that materially disrupts policy or confidence,25y,cumulative at least one qualifying event,0.9,0.825,0.75,D expert synthesis anchored to official evidence; not an official probability,Tier 1,C,medium,V8_risk_sources.csv
housing/real-estate shock,Large residential or commercial property correction with macro credit effects,2y,cumulative at least one qualifying event,0.07,0.05,0.03,D expert synthesis anchored to official evidence; not an official probability,Tier 2,B,medium,V8_risk_sources.csv
housing/real-estate shock,Large residential or commercial property correction with macro credit effects,5y,cumulative at least one qualifying event,0.18,0.15,0.12,D expert synthesis anchored to official evidence; not an official probability,Tier 2,B,medium,V8_risk_sources.csv
housing/real-estate shock,Large residential or commercial property correction with macro credit effects,10y,cumulative at least one qualifying event,0.35,0.305,0.26,D expert synthesis anchored to official evidence; not an official probability,Tier 2,B,medium,V8_risk_sources.csv
housing/real-estate shock,Large residential or commercial property correction with macro credit effects,25y,cumulative at least one qualifying event,0.65,0.585,0.52,D expert synthesis anchored to official evidence; not an official probability,Tier 2,B,medium,V8_risk_sources.csv
combinations of the above,Two or more qualifying shocks interact within a recovery period,2y,cumulative at least one qualifying event,0.08,0.055,0.03,D expert synthesis anchored to official evidence; not an official probability,Tier 1,D,low,V8_risk_sources.csv
combinations of the above,Two or more qualifying shocks interact within a recovery period,5y,cumulative at least one qualifying event,0.22,0.18,0.14,D expert synthesis anchored to official evidence; not an official probability,Tier 1,D,low,V8_risk_sources.csv
combinations of the above,Two or more qualifying shocks interact within a recovery period,10y,cumulative at least one qualifying event,0.48,0.41,0.34,D expert synthesis anchored to official evidence; not an official probability,Tier 1,D,low,V8_risk_sources.csv
combinations of the above,Two or more qualifying shocks interact within a recovery period,25y,cumulative at least one qualifying event,0.85,0.785,0.72,D expert synthesis anchored to official evidence; not an official probability,Tier 1,D,low,V8_risk_sources.csv
