variable,scenario,year,range_low,range_high,unit,institutional_comparison,influence,basis
real_gdp_per_capita,CENTRAL,2040,36000.0,40000.0,"EUR/person, 2020 chain-linked prices",MORE_PESSIMISTIC_THAN_INSTITUTIONS,WEAK,"V8.03 architecture, historical speed constraints, institutional near-term benchmarks, clustered event timing and qualitative scarring"
real_gdp_per_capita,CENTRAL,2050,31500.0,36500.0,"EUR/person, 2020 chain-linked prices",MORE_PESSIMISTIC_THAN_INSTITUTIONS,WEAK,"V8.03 architecture, historical speed constraints, institutional near-term benchmarks, clustered event timing and qualitative scarring"
real_gdp_per_capita,PESSIMISTIC,2030,35500.0,38000.0,"EUR/person, 2020 chain-linked prices",CONSISTENT_WITH_INSTITUTIONAL_NEAR_TERM,MODERATE,"V8.03 architecture, historical speed constraints, institutional near-term benchmarks, clustered event timing and qualitative scarring"
real_gdp_per_capita,PESSIMISTIC,2040,31500.0,36500.0,"EUR/person, 2020 chain-linked prices",MORE_PESSIMISTIC_THAN_INSTITUTIONS,WEAK,"V8.03 architecture, historical speed constraints, institutional near-term benchmarks, clustered event timing and qualitative scarring"
real_gdp_per_capita,PESSIMISTIC,2050,27000.0,33500.0,"EUR/person, 2020 chain-linked prices",MORE_PESSIMISTIC_THAN_INSTITUTIONS,WEAK,"V8.03 architecture, historical speed constraints, institutional near-term benchmarks, clustered event timing and qualitative scarring"
real_median_living_standard,OPTIMISTIC,2030,25800.0,27200.0,"EUR/person/year, constant prices",CONSISTENT_WITH_INSTITUTIONAL_NEAR_TERM,MODERATE,"V8.03 architecture, historical speed constraints, institutional near-term benchmarks, clustered event timing and qualitative scarring"
real_median_living_standard,OPTIMISTIC,2040,25500.0,27000.0,"EUR/person/year, constant prices",MORE_PESSIMISTIC_THAN_INSTITUTIONS,WEAK,"V8.03 architecture, historical speed constraints, institutional near-term benchmarks, clustered event timing and qualitative scarring"
real_median_living_standard,OPTIMISTIC,2050,24000.0,25900.0,"EUR/person/year, constant prices",MORE_PESSIMISTIC_THAN_INSTITUTIONS,WEAK,"V8.03 architecture, historical speed constraints, institutional near-term benchmarks, clustered event timing and qualitative scarring"
real_median_living_standard,CENTRAL,2030,25200.0,26700.0,"EUR/person/year, constant prices",CONSISTENT_WITH_INSTITUTIONAL_NEAR_TERM,MODERATE,"V8.03 architecture, historical speed constraints, institutional near-term benchmarks, clustered event timing and qualitative scarring"
real_median_living_standard,CENTRAL,2040,24500.0,26200.0,"EUR/person/year, constant prices",MORE_PESSIMISTIC_THAN_INSTITUTIONS,WEAK,"V8.03 architecture, historical speed constraints, institutional near-term benchmarks, clustered event timing and qualitative scarring"
real_median_living_standard,CENTRAL,2050,22800.0,25000.0,"EUR/person/year, constant prices",MORE_PESSIMISTIC_THAN_INSTITUTIONS,WEAK,"V8.03 architecture, historical speed constraints, institutional near-term benchmarks, clustered event timing and qualitative scarring"
real_median_living_standard,PESSIMISTIC,2030,24200.0,26000.0,"EUR/person/year, constant prices",CONSISTENT_WITH_INSTITUTIONAL_NEAR_TERM,MODERATE,"V8.03 architecture, historical speed constraints, institutional near-term benchmarks, clustered event timing and qualitative scarring"
real_median_living_standard,PESSIMISTIC,2040,22500.0,25000.0,"EUR/person/year, constant prices",MORE_PESSIMISTIC_THAN_INSTITUTIONS,WEAK,"V8.03 architecture, historical speed constraints, institutional near-term benchmarks, clustered event timing and qualitative scarring"
real_median_living_standard,PESSIMISTIC,2050,20500.0,24000.0,"EUR/person/year, constant prices",MORE_PESSIMISTIC_THAN_INSTITUTIONS,WEAK,"V8.03 architecture, historical speed constraints, institutional near-term benchmarks, clustered event timing and qualitative scarring"
