risk,definition,horizon,probability_low,probability_central,probability_high,confidence,evidence_grade,source_basis,judgment_flag
major climate/food-price shock,Acute climate or agricultural event causing material food/output shock,25y,0.68,0.74,0.8,medium,B,V8_risk_sources.csv; D expert synthesis anchored to official evidence; not an official probability,JUDGMENT_SYNTHESIS
domestic political crisis,Government/parliamentary crisis that materially disrupts policy or confidence,2y,0.06,0.105,0.15,medium,C,V8_risk_sources.csv; D expert synthesis anchored to official evidence; not an official probability,JUDGMENT_SYNTHESIS
domestic political crisis,Government/parliamentary crisis that materially disrupts policy or confidence,5y,0.2,0.275,0.35,medium,C,V8_risk_sources.csv; D expert synthesis anchored to official evidence; not an official probability,JUDGMENT_SYNTHESIS
domestic political crisis,Government/parliamentary crisis that materially disrupts policy or confidence,10y,0.42,0.51,0.6,medium,C,V8_risk_sources.csv; D expert synthesis anchored to official evidence; not an official probability,JUDGMENT_SYNTHESIS
domestic political crisis,Government/parliamentary crisis that materially disrupts policy or confidence,25y,0.75,0.825,0.9,medium,C,V8_risk_sources.csv; D expert synthesis anchored to official evidence; not an official probability,JUDGMENT_SYNTHESIS
housing/real-estate shock,Large residential or commercial property correction with macro credit effects,2y,0.03,0.05,0.07,medium,B,V8_risk_sources.csv; D expert synthesis anchored to official evidence; not an official probability,JUDGMENT_SYNTHESIS
housing/real-estate shock,Large residential or commercial property correction with macro credit effects,5y,0.12,0.15,0.18,medium,B,V8_risk_sources.csv; D expert synthesis anchored to official evidence; not an official probability,JUDGMENT_SYNTHESIS
housing/real-estate shock,Large residential or commercial property correction with macro credit effects,10y,0.26,0.305,0.35,medium,B,V8_risk_sources.csv; D expert synthesis anchored to official evidence; not an official probability,JUDGMENT_SYNTHESIS
housing/real-estate shock,Large residential or commercial property correction with macro credit effects,25y,0.52,0.585,0.65,medium,B,V8_risk_sources.csv; D expert synthesis anchored to official evidence; not an official probability,JUDGMENT_SYNTHESIS
combinations of the above,Two or more qualifying shocks interact within a recovery period,2y,0.03,0.055,0.08,low,D,V8_risk_sources.csv; D expert synthesis anchored to official evidence; not an official probability,JUDGMENT_SYNTHESIS
combinations of the above,Two or more qualifying shocks interact within a recovery period,5y,0.14,0.18,0.22,low,D,V8_risk_sources.csv; D expert synthesis anchored to official evidence; not an official probability,JUDGMENT_SYNTHESIS
combinations of the above,Two or more qualifying shocks interact within a recovery period,10y,0.34,0.41,0.48,low,D,V8_risk_sources.csv; D expert synthesis anchored to official evidence; not an official probability,JUDGMENT_SYNTHESIS
combinations of the above,Two or more qualifying shocks interact within a recovery period,25y,0.72,0.785,0.85,low,D,V8_risk_sources.csv; D expert synthesis anchored to official evidence; not an official probability,JUDGMENT_SYNTHESIS
